e, e_dot, e_int, stamp, 
-2.6276298819583146, -0.016328251558041334, -0.5273702568862942, 1762615987712444326, 
-2.630049567328266, -0.01621923092942475, -0.5289326194104353, 1762615987813010442, 
-2.632409123137693, -0.015930803931261117, -0.524476408528491, 1762615987911862775, 
-2.63477885718063, -0.015764299507880313, -0.5239682280694447, 1762615988012055320, 
-2.6371488617943437, -0.01579912885550261, -0.5285594107935898, 1762615988112471411, 
-2.639451591123211, -0.015575779808603881, -0.527446555764591, 1762615988212063385, 
-2.6417579647332023, -0.015363676462862111, -0.526763008053666, 1762615988312044219, 
-2.6440384891236737, -0.015289660001542119, -0.5275021005984689, 1762615988411742473, 
-2.646314395039302, -0.015188101020332153, -0.5288835619868938, 1762615988512073028, 
-2.648561022717818, -0.015075111980480393, -0.5298047877151864, 1762615988611947990, 
-2.6507935267852925, -0.014930439153301537, -0.5295547226970613, 1762615988712013924, 
-2.653005116725257, -0.01481364669146353, -0.5302298153957548, 1762615988811975342, 
-2.655211980917816, -0.014728180441744657, -0.5319481714469436, 1762615988912521825, 
-2.6573760419137553, -0.014569750628328215, -0.5311757569350061, 1762615989012026643, 
-2.659533554562038, -0.014405245480741216, -0.5300441134895786, 1762615989111983452, 
-2.6616699003826305, -0.014312861562917334, -0.5312656038817685, 1762615989211786113, 
-2.6638047129734104, -0.014237194704573852, -0.5331892931545488, 1762615989312304835, 
-2.665904473177253, -0.01411524264874231, -0.5335273045145991, 1762615989412074686, 
-2.667988165604247, -0.01394484210278879, -0.5319189864628233, 1762615989511831885, 
-2.6700767097563904, -0.01390745526379078, -0.5346879824709028, 1762615989612483243, 
-2.6721263061936646, -0.01379380196472546, -0.535487672619468, 1762615989712384279, 
-2.67415800326165, -0.013604311684198104, -0.5332482174246675, 1762615989812043199, 
-2.676179393597625, -0.013510291346534586, -0.5338134405103319, 1762615989912003795, 
-2.3567990072929854, 1.0578633198955483, -0.5138842356210457, 1762615990012072448, 
-2.3617721673107557, 1.048024087622898, -0.49335451620935933, 1762615990112154366, 
-2.366667781499162, -0.0328959140205883, -0.4712580967912663, 1762615990211610431, 
-2.3715768665350137, -0.03268233074752658, -0.4740069087822714, 1762615990312438501, 
-2.3764385188001422, -0.032569124336601085, -0.47745683230675806, 1762615990412936402, 
-2.3811936284059967, -0.03205587290327679, -0.476216573379864, 1762615990512832362, 
-2.3858780772546426, -0.031465194848334654, -0.47389499874306634, 1762615990611954105, 
-2.3905890760394914, -0.03131815877831586, -0.4766189686113564, 1762615990712598312, 
-2.3952162759407023, -0.031127328953532245, -0.47857485717974757, 1762615990812147628, 
-2.3997919743811535, -0.030676327805540343, -0.47819297755571955, 1762615990912244753, 
-2.4043152112578254, -0.030329784390410452, -0.4792301055491509, 1762615991011845603, 
-2.4088482024587217, -0.03018742692522706, -0.48184633509123354, 1762615991112653452, 
-2.4132663880110163, -0.02983725584396968, -0.48188374971518677, 1762615991211896152, 
-2.417683093698397, -0.029449637465583933, -0.4812478207905483, 1762615991312071105, 
-2.422028388613946, -0.02920666867643214, -0.4828712785560619, 1762615991411622921, 
-2.426380512390096, -0.028991395638997552, -0.4848871870227025, 1762615991512269721, 
-2.430711828618895, -0.02894480001649639, -0.48980583208546585, 1762615991613490365, 
-2.4348907989468738, -0.028367621855925524, -0.48586388136546793, 1762615991712159328, 
-2.439110980952953, -0.027997174446860267, -0.4850732910153349, 1762615991812706919, 
-2.4432267827034013, -0.027786612521758514, -0.4870511554268416, 1762615991911846061, 
-2.447341148299597, -0.02743389115547945, -0.48653680780447645, 1762615992011843940, 
-2.451448851245155, -0.027406895139178527, -0.4914251304472737, 1762615992112645846, 
-2.4554430671548246, -0.02700639618409273, -0.4899979437273223, 1762615992211727982, 
-2.459439340842785, -0.026634965325433118, -0.4889512819182399, 1762615992311775344, 
-2.4634068322064873, -0.0265458835055421, -0.4927486287626235, 1762615992412078746, 
-2.467322630485621, -0.02627763214278674, -0.4933576581086502, 1762615992512051280, 
-2.4711913884442365, -0.02594852079249736, -0.49274428951639127, 1762615992611788105, 
-2.4750228154759326, -0.02566728330103925, -0.49293931458114293, 1762615992711526642, 
-2.478828497399986, -0.02545702985249883, -0.4944446320443917, 1762615992811562565, 
-2.4826114616581885, -0.02529548727418618, -0.49686963003330054, 1762615992911972598, 
-2.4863433421645786, -0.025049482548641738, -0.4975797614145818, 1762615993011989890, 
-2.490025704752598, -0.024714143648032483, -0.4964342229855945, 1762615993111638312, 
-2.4936960357519675, -0.024508978624629602, -0.4978402165347, 1762615993211923978, 
-2.4973323378899757, -0.024355443791258164, -0.5002412438758278, 1762615993312241558, 
-2.5009040436959054, -0.024026693146459444, -0.4989761819757411, 1762615993411729377, 
-2.5044663669661453, -0.02378009692056556, -0.49934844111280013, 1762615993511908981, 
-2.5079973039227217, -0.023644200756054445, -0.5018923472381102, 1762615993612129131, 
-2.511478635823447, -0.023374229524339245, -0.5016951638456157, 1762615993711948459, 
-2.5149947991642887, -0.023324984138556697, -0.5060787738442653, 1762615993813634502, 
-2.5183584905177896, -0.022932848981141635, -0.5031086170244546, 1762615993911996103, 
-2.521757010804522, -0.022540705467444983, -0.5001364529608917, 1762615994012229797, 
-2.5251363788509527, -0.02259296111054354, -0.5063857026247813, 1762615994112803311, 
-2.528436213132319, -0.0222640077593228, -0.504527860020295, 1762615994212034117, 
-2.531716051217921, -0.021932241223227383, -0.5025191880734053, 1762615994311550865, 
-2.5350018029644605, -0.021885299440471684, -0.5067138201457859, 1762615994412180348, 
-2.538236108517613, -0.02173352433230728, -0.5085634068688573, 1762615994512168808, 
-2.541446380566594, -0.0214819253404445, -0.5080094922352629, 1762615994612323705, 
-2.5446089770055536, -0.021242894959801657, -0.5077615286964369, 1762615994711962401, 
-2.547780064267933, -0.021112279004464145, -0.5099441528718305, 1762615994812725256, 
-2.550891687926035, -0.02094236973493757, -0.5111328548635566, 1762615994912582870, 
-2.5539577086821104, -0.020592148047257435, -0.5081385857729972, 1762615995011926820, 
-2.5570281278575364, -0.020454799771671972, -0.5100298408128973, 1762615995112284512, 
-2.560051421853517, -0.02031237723802241, -0.5116567634359189, 1762615995212026264, 
-2.5630466529041485, -0.02006175015537348, -0.5106366431262525, 1762615995311748673, 
-2.5660332201381664, -0.01993932761549762, -0.5127814329406325, 1762615995412093637, 
-2.568975203308545, -0.0197618346813222, -0.513458089910979, 1762615995511847822, 
-2.57190158883238, -0.019561228980712702, -0.5134740330356263, 1762615995611969086, 
-2.5747889243418345, -0.019379070110964552, -0.5139388730851162, 1762615995711677192, 
-2.577668979930633, -0.019224636994176574, -0.5151125952131456, 1762615995812029400, 
-2.5805015748095124, -0.019042168225592942, -0.515389304371359, 1762615995911622364, 
-2.5833282991289113, -0.018864397327593707, -0.5157878250649768, 1762615996011908455, 
-2.5861250237536706, -0.018744829813860758, -0.5177084519324439, 1762615996112026802, 
-2.588887051916719, -0.018529175959359396, -0.5169250403386941, 1762615996211793359, 
-2.5916272265153903, -0.01834067587239918, -0.516794571292347, 1762615996311647726, 
-2.5943543386181984, -0.018224289004931116, -0.5186865490282245, 1762615996411933030, 
-2.597046307226351, -0.018063602369869553, -0.5192653814152076, 1762615996511800696, 
-2.599742925764057, -0.017961957152861825, -0.5214144014896593, 1762615996612704995, 
-2.6023626112237435, -0.017721013324640822, -0.5195995526803728, 1762615996711668411, 
-2.605025738075543, -0.01760937437161954, -0.5214594473801049, 1762615996813083122, 
-2.6075927094222124, -0.017433660661563266, -0.5213051887053491, 1762615996911786051, 
-2.610180920344375, -0.01718394089610757, -0.5189684240699306, 1762615997012104623, 
-2.612753373234301, -0.01720221270696154, -0.5243817597638952, 1762615997112685081, 
-2.6152620865985226, -0.01693722084715817, -0.5215615167789954, 1762615997211727658, 
-2.6177822557988715, -0.0167629418819019, -0.5213213467291508, 1762615997312022879, 
-2.620274548643989, -0.0167082068182219, -0.5243569139717306, 1762615997412034148, 
-2.622748364467903, -0.01655369556343859, -0.5246356054732335, 1762615997512244966, 
-2.6251970796002495, -0.016408436520867948, -0.5251260330504274, 1762615997612254541, 
-2.6276445978726137, -0.01632077801570227, -0.5270929461115574, 1762615997713027235, 
-2.6300207922493892, -0.016079042163799073, -0.5243862734506458, 1762615997811821491, 
-2.632423831393563, -0.015930778403164442, -0.5239266702584621, 1762615997912236644, 
